City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Talbahat,IN,2021-03-28 23:01:37,25.05,78.4333,79.39,15,2,4.41
67,Souillac,MU,2021-03-28 23:01:37,-20.5167,57.5167,75.2,88,20,6.91
68,Marienburg,PL,2021-03-28 23:01:38,54.0359,19.0266,45.0,63,93,11.36
69,Barrow,US,2021-03-28 22:59:45,71.2906,-156.7887,-16.6,69,20,12.66
70,Zabol,AF,2021-03-28 23:01:38,32.25,67.25,56.14,28,2,11.5
71,Sorong,ID,2021-03-28 23:01:38,-0.8833,131.25,79.16,84,100,2.08
72,Kodiak,US,2021-03-28 23:00:01,57.79,-152.4072,42.8,26,1,5.75
73,Port Hedland,AU,2021-03-28 23:01:39,-20.3167,118.5667,78.8,73,24,9.01
74,Denpasar,ID,2021-03-28 23:01:39,-8.65,115.2167,77.0,100,40,1.14
75,Nishihara,JP,2021-03-28 23:01:40,26.1842,127.7558,71.6,100,75,3.0
76,Georgetown,MY,2021-03-28 22:58:51,5.4112,100.3354,80.01,94,20,1.14
77,Rennes,FR,2021-03-28 23:01:40,48.1667,-1.6667,46.4,76,0,2.3
78,Friendswood,US,2021-03-28 23:01:41,29.5294,-95.201,59.0,77,90,6.91
79,Bambous Virieux,MU,2021-03-28 23:01:41,-20.3428,57.7575,77.0,88,20,6.91
80,Grand Gaube,MU,2021-03-28 23:01:42,-20.0064,57.6608,77.0,80,3,1.99
81,Tiksi,RU,2021-03-28 23:01:42,71.6872,128.8694,3.67,95,100,1.74
82,Capelinha,BR,2021-03-28 23:01:43,-17.6914,-42.5158,67.03,69,18,2.71
83,Isangel,VU,2021-03-28 23:01:43,-19.55,169.2667,80.6,78,40,3.44
84,Tamiahua,MX,2021-03-28 23:01:44,21.2667,-97.45,78.87,77,39,23.29
85,Kwinana,AU,2021-03-28 23:01:44,-32.25,115.7667,68.0,72,5,5.75
86,Katsuura,JP,2021-03-28 23:01:45,35.1333,140.3,64.0,82,75,1.01
87,Merauke,ID,2021-03-28 23:01:45,-8.4667,140.3333,77.68,92,100,9.53
88,Pasighat,IN,2021-03-28 23:01:46,28.0667,95.3333,67.57,25,0,3.53
89,Qaanaaq,GL,2021-03-28 23:01:46,77.484,-69.3632,-20.13,77,66,6.02
90,La Ronge,CA,2021-03-28 23:01:47,55.1001,-105.2842,41.0,60,100,6.91
91,Tabou,CI,2021-03-28 23:01:47,4.423,-7.3528,78.57,87,78,4.68
